region,class_code,class,area_ha,pct,indicator,year
Daraa-Tafilelt,0,No drought,800072.6941294115,9.863428572468491,SO3-1 2022,2022
Daraa-Tafilelt,1,Mild,5526523.399535702,68.13189502075306,SO3-1 2022,2022
Daraa-Tafilelt,2,Moderate,1494194.5241513718,18.420677359046017,SO3-1 2022,2022
Daraa-Tafilelt,3,Severe,203499.67969098056,2.5087777271742993,SO3-1 2022,2022
Daraa-Tafilelt,4,Extreme,87216.65214117646,1.075221320558128,SO3-1 2022,2022
Fes-Meknes,0,No drought,732839.2380305901,19.0213880272024,SO3-1 2022,2022
Fes-Meknes,1,Mild,2712177.4345858716,70.39658455041237,SO3-1 2022,2022
Fes-Meknes,2,Moderate,313084.51846980373,8.126341770574474,SO3-1 2022,2022
Fes-Meknes,3,Severe,63508.32367372551,1.6484058233583176,SO3-1 2022,2022
Fes-Meknes,4,Extreme,31102.164232941184,0.807279828452438,SO3-1 2022,2022
Guelmim-Oued Noun,0,No drought,328820.919360784,6.659893779271343,SO3-1 2022,2022
Guelmim-Oued Noun,1,Mild,3102984.497949802,62.847422223757455,SO3-1 2022,2022
Guelmim-Oued Noun,2,Moderate,1244637.2986431387,25.20871305510714,SO3-1 2022,2022
Guelmim-Oued Noun,3,Severe,132895.4588603922,2.6916463875786247,SO3-1 2022,2022
Guelmim-Oued Noun,4,Extreme,127991.61240000004,2.5923245542854283,SO3-1 2022,2022
Laayoune-Saguia Hamra,0,No drought,10685443.565127939,77.81501666128246,SO3-1 2022,2022
Laayoune-Saguia Hamra,1,Mild,2722510.667949022,19.826244151282065,SO3-1 2022,2022
Laayoune-Saguia Hamra,2,Moderate,260516.10394901954,1.8971664438417375,SO3-1 2022,2022
Laayoune-Saguia Hamra,3,Severe,44204.30863921569,0.321910737003631,SO3-1 2022,2022
Laayoune-Saguia Hamra,4,Extreme,19178.1812,0.13966200659010505,SO3-1 2022,2022
Marrakech-Safi,0,No drought,74210.67763764707,1.8554128733390716,SO3-1 2022,2022
Marrakech-Safi,1,Mild,2380859.4196062745,59.526167357176725,SO3-1 2022,2022
Marrakech-Safi,2,Moderate,1304953.1527545098,32.6263949582484,SO3-1 2022,2022
Marrakech-Safi,3,Severe,144800.46719999996,3.6202964244608697,SO3-1 2022,2022
Marrakech-Safi,4,Extreme,94861.67379999998,2.3717283867749384,SO3-1 2022,2022
Oriental,0,No drought,135151.1692109804,2.019643515313313,SO3-1 2022,2022
Oriental,1,Mild,4015362.2418345157,60.0039227237121,SO3-1 2022,2022
Oriental,2,Moderate,1427569.652912157,21.333014053776083,SO3-1 2022,2022
Oriental,3,Severe,463472.6241968631,6.925944373616184,SO3-1 2022,2022
Oriental,4,Extreme,650277.2113764705,9.717475333582325,SO3-1 2022,2022
Rabat-Sale-Kenitra,0,No drought,197476.50630745082,11.841012646704854,SO3-1 2022,2022
Rabat-Sale-Kenitra,1,Mild,1465153.7699474567,87.85300410523088,SO3-1 2022,2022
Rabat-Sale-Kenitra,2,Moderate,5102.9844,0.30598324806426735,SO3-1 2022,2022
Souss Massa,0,No drought,547370.4778047058,10.498840264568287,SO3-1 2022,2022
Souss Massa,1,Mild,4627121.831490213,88.75051717868654,SO3-1 2022,2022
Souss Massa,2,Moderate,39135.71066823529,0.7506425567451948,SO3-1 2022,2022
Tanger-Tetouan-Hoceima,0,No drought,288568.1850360781,18.524639991511844,SO3-1 2022,2022
Tanger-Tetouan-Hoceima,1,Mild,1264115.1981521593,81.1498985955076,SO3-1 2022,2022
Tanger-Tetouan-Hoceima,2,Moderate,5069.8858,0.3254614129805612,SO3-1 2022,2022
Beni Mellal-Khenifra,1,Mild,185985.99068627442,6.434380096237637,SO3-1 2023,2023
