region,class_code,class,area_ha,pct,indicator
Dakhla-Oued Eddahab,0,Stable,12922791.941588938,99.99458193192858,Land cover
Dakhla-Oued Eddahab,1,Improved,265.42577350490194,0.0020538239240829284,Land cover
Daraa-Tafilelt,-1,Degraded,488881.1336868262,6.026434121966033,Land cover
Daraa-Tafilelt,0,Stable,7577270.091270462,93.40495241658674,Land cover
Daraa-Tafilelt,1,Improved,46127.50891089461,0.5686134614472202,Land cover
Fes-Meknes,-1,Degraded,196248.8043608455,5.093386029400552,Land cover
Fes-Meknes,0,Stable,3489732.7806587927,90.57153876293842,Land cover
Fes-Meknes,1,Improved,167030.99301859658,4.3350752076610295,Land cover
Guelmim-Oued Noun,-1,Degraded,180791.33728004273,3.5814815948922467,Land cover
Guelmim-Oued Noun,0,Stable,4862880.96259479,96.33381182809411,Land cover
Guelmim-Oued Noun,1,Improved,4275.944166948531,0.08470657701365172,Land cover
Laayoune-Saguia Hamra,-1,Degraded,3847.124234013481,0.027672724677852402,Land cover
Laayoune-Saguia Hamra,0,Stable,13877487.898131056,99.8220692822741,Land cover
Laayoune-Saguia Hamra,1,Improved,20889.203110238963,0.15025799304804965,Land cover
Marrakech-Safi,-1,Degraded,154955.0000018203,3.832037854989544,Land cover
Marrakech-Safi,0,Stable,3283651.4051626036,81.20471418815069,Land cover
Marrakech-Safi,1,Improved,605064.5048204438,14.963247956859776,Land cover
Oriental,-1,Degraded,742890.0610704814,11.09405623309279,Land cover
Oriental,0,Stable,5865769.873804494,87.59732326556819,Land cover
Oriental,1,Improved,87629.00996102278,1.3086205013390284,Land cover
Rabat-Sale-Kenitra,-1,Degraded,33044.98829648899,1.9694901434310477,Land cover
Rabat-Sale-Kenitra,0,Stable,1521422.0955839392,90.67716394286471,Land cover
Rabat-Sale-Kenitra,1,Improved,123377.73330262878,7.353345913704245,Land cover
Souss Massa,-1,Degraded,304339.9331075067,5.7973706954893505,Land cover
Souss Massa,0,Stable,4890695.929495304,93.16285566833417,Land cover
Souss Massa,1,Improved,54584.16504694226,1.0397736361764742,Land cover
Tanger-Tetouan-Hoceima,-1,Degraded,64812.29154814946,4.154455678726635,Land cover
Tanger-Tetouan-Hoceima,0,Stable,1441336.2648765664,92.38938305587591,Land cover
Tanger-Tetouan-Hoceima,1,Improved,53918.43093124997,3.45616126539746,Land cover
Beni Mellal-Khenifra,-1,Degraded,5319.8486863296575,0.18412407956775548,Soil organic carbon
Beni Mellal-Khenifra,0,Stable,2478256.9684687555,85.77439137023784,Soil organic carbon
Beni Mellal-Khenifra,1,Improved,405696.9263000809,14.041484550194411,Soil organic carbon
Casablanca-Settat,-1,Degraded,2611.172109803922,0.12964523303214726,Soil organic carbon
Casablanca-Settat,0,Stable,1816809.0368307387,90.20494285706786,Soil organic carbon
Casablanca-Settat,1,Improved,194670.12722819834,9.665411909899996,Soil organic carbon
Dakhla-Oued Eddahab,-1,Degraded,388.30637031249995,0.0030230574055471067,Soil organic carbon
Dakhla-Oued Eddahab,0,Stable,12844169.181241283,99.99491053984765,Soil organic carbon
Dakhla-Oued Eddahab,1,Improved,265.42577350490194,0.002066402746808692,Soil organic carbon
Daraa-Tafilelt,-1,Degraded,487928.1784679659,6.016748416779085,Soil organic carbon
Daraa-Tafilelt,0,Stable,7575910.528236197,93.42019929971676,Soil organic carbon
Daraa-Tafilelt,1,Improved,45660.7217124571,0.5630522835041664,Soil organic carbon
Fes-Meknes,-1,Degraded,172564.72539588838,4.495344366631308,Soil organic carbon
Fes-Meknes,0,Stable,3505637.302501269,91.32252760868784,Soil organic carbon
Fes-Meknes,1,Improved,160541.15442335157,4.182128024680852,Soil organic carbon
Guelmim-Oued Noun,-1,Degraded,180704.39380504272,3.6198105883702305,Soil organic carbon
Guelmim-Oued Noun,0,Stable,4807114.949709964,96.29453511377413,Soil organic carbon
Guelmim-Oued Noun,1,Improved,4275.944166948531,0.08565429785564121,Soil organic carbon
Laayoune-Saguia Hamra,-1,Degraded,3847.1242340134813,0.027805560102073374,Soil organic carbon
Laayoune-Saguia Hamra,0,Stable,13811116.820008216,99.82153303504397,Soil organic carbon
Laayoune-Saguia Hamra,1,Improved,20845.224466488966,0.1506614048539557,Soil organic carbon
Marrakech-Safi,-1,Degraded,144098.87807685093,3.573734000631987,Soil organic carbon
Marrakech-Safi,0,Stable,3284199.9773445604,81.45002432046381,Soil organic carbon
Marrakech-Safi,1,Improved,603866.8863872454,14.976241678904215,Soil organic carbon
Oriental,-1,Degraded,739394.2276879079,11.099496504545767,Soil organic carbon
Oriental,0,Stable,5835204.741376078,87.59580776379909,Soil organic carbon
Oriental,1,Improved,86912.45521630468,1.304695731655143,Soil organic carbon
Rabat-Sale-Kenitra,-1,Degraded,543.0431806311274,0.03248598773607419,Soil organic carbon
Rabat-Sale-Kenitra,0,Stable,1548530.799112012,92.63637652243533,Soil organic carbon
Rabat-Sale-Kenitra,1,Improved,122548.9664179045,7.331137489828584,Soil organic carbon
Souss Massa,-1,Degraded,302537.11925750674,5.773316659368791,Soil organic carbon
Souss Massa,0,Stable,4883165.612263201,93.18546249440571,Soil organic carbon
Souss Massa,1,Improved,54562.736450067256,1.0412208462254864,Soil organic carbon
Tanger-Tetouan-Hoceima,-1,Degraded,892.6745390625,0.058871154494548585,Soil organic carbon
Tanger-Tetouan-Hoceima,0,Stable,1474162.0666435082,97.21978053335826,Soil organic carbon
Tanger-Tetouan-Hoceima,1,Improved,41264.323267169086,2.7213483121471924,Soil organic carbon
Beni Mellal-Khenifra,-1,Degraded,2193588.0042144186,75.92177823867911,SDG 15.3.1
Beni Mellal-Khenifra,0,Stable,666319.988167145,23.061850393252055,SDG 15.3.1
Beni Mellal-Khenifra,1,Improved,29365.751073609074,1.0163713680688382,SDG 15.3.1
Casablanca-Settat,-1,Degraded,1763453.3712465984,88.62919617096453,SDG 15.3.1
Casablanca-Settat,0,Stable,220365.35280371917,11.075316422525061,SDG 15.3.1
Casablanca-Settat,1,Improved,5879.307109662989,0.29548740651039357,SDG 15.3.1
Dakhla-Oued Eddahab,-1,Degraded,2764258.6181833195,21.74375771543037,SDG 15.3.1
Dakhla-Oued Eddahab,0,Stable,9948442.226228975,78.2548043768942,SDG 15.3.1
Dakhla-Oued Eddahab,1,Improved,182.7995296875,0.001437907675451814,SDG 15.3.1
Daraa-Tafilelt,-1,Degraded,1230441.463963835,15.172841120775256,SDG 15.3.1
Daraa-Tafilelt,0,Stable,6841047.539311279,84.35844406548004,SDG 15.3.1
Daraa-Tafilelt,1,Improved,38010.425141531865,0.46871481374471574,SDG 15.3.1
Fes-Meknes,-1,Degraded,2544178.6447010953,66.27634420605102,SDG 15.3.1
Fes-Meknes,0,Stable,1233864.0949675096,32.142397559964515,SDG 15.3.1
Fes-Meknes,1,Improved,60700.442651960766,1.5812582339844528,SDG 15.3.1
Guelmim-Oued Noun,-1,Degraded,3139784.6395481825,63.59685817135374,SDG 15.3.1
Guelmim-Oued Noun,0,Stable,1796506.1377021067,36.3885295202439,SDG 15.3.1
Guelmim-Oued Noun,1,Improved,721.411446875,0.014612308402369458,SDG 15.3.1
Laayoune-Saguia Hamra,-1,Degraded,3654354.535437823,26.657849865907412,SDG 15.3.1
Laayoune-Saguia Hamra,0,Stable,10042426.109278131,73.25766695992765,SDG 15.3.1
Laayoune-Saguia Hamra,1,Improved,11581.259262500002,0.08448317416495167,SDG 15.3.1
Marrakech-Safi,-1,Degraded,3462276.8201064914,86.69296423964053,SDG 15.3.1
Marrakech-Safi,0,Stable,485330.5834428369,12.15233474991743,SDG 15.3.1
Marrakech-Safi,1,Improved,46115.55940751832,1.1547010104420359,SDG 15.3.1
