region,class_code,class,area_ha,pct,indicator
Casablanca-Settat,0,Stable,1825218.372927172,90.4954273480084,Soil organic carbon
Casablanca-Settat,1,Improved,188765.0425303922,9.3590846144931,Soil organic carbon
Dakhla-Oued Eddahab,-1,Degraded,245.46396715686274,0.0019081417466234724,Soil organic carbon
Dakhla-Oued Eddahab,0,Stable,12863695.622761052,99.99738421062072,Soil organic carbon
Dakhla-Oued Eddahab,1,Improved,91.03201875,0.0007076476326371852,Soil organic carbon
Daraa-Tafilelt,-1,Degraded,490296.7916157106,6.044932972579548,Soil organic carbon
Daraa-Tafilelt,0,Stable,7566229.265597069,93.2850256167952,Soil organic carbon
Daraa-Tafilelt,1,Improved,54346.202905710794,0.6700414106252595,Soil organic carbon
Fes-Meknes,-1,Degraded,167341.15411681394,4.353730963921449,Soil organic carbon
Fes-Meknes,0,Stable,3521752.086237627,91.62576406282315,Soil organic carbon
Fes-Meknes,1,Improved,154533.19186056353,4.020504973255404,Soil organic carbon
Guelmim-Oued Noun,-1,Degraded,167398.52801899513,3.348814732735735,Soil organic carbon
Guelmim-Oued Noun,0,Stable,4826890.948920758,96.562160458307,Soil organic carbon
Guelmim-Oued Noun,1,Improved,4450.118375,0.08902480895726259,Soil organic carbon
Laayoune-Saguia Hamra,-1,Degraded,5048.865231250001,0.036451393691518764,Soil organic carbon
Laayoune-Saguia Hamra,0,Stable,13824099.610288205,99.8061295450005,Soil organic carbon
Laayoune-Saguia Hamra,1,Improved,21804.039431250003,0.15741906130798403,Soil organic carbon
Marrakech-Safi,-1,Degraded,142423.69956085813,3.527889362485149,Soil organic carbon
Marrakech-Safi,0,Stable,3285188.573718349,81.37537403335297,Soil organic carbon
Marrakech-Safi,1,Improved,609467.2642868657,15.09673660416186,Soil organic carbon
Oriental,-1,Degraded,734499.9963085793,11.011650792154828,Soil organic carbon
Oriental,0,Stable,5848707.43093204,87.68403558690714,Soil organic carbon
Oriental,1,Improved,87000.42962193629,1.3043136209380197,Soil organic carbon
Rabat-Sale-Kenitra,-1,Degraded,1017.6141381372549,0.060764840701920064,Soil organic carbon
Rabat-Sale-Kenitra,0,Stable,1554029.8651489143,92.79585813799238,Soil organic carbon
Rabat-Sale-Kenitra,1,Improved,119628.41286105388,7.143377021305692,Soil organic carbon
Souss Massa,-1,Degraded,302907.7537037,5.778447201737411,Soil organic carbon
Souss Massa,0,Stable,4883211.503899368,93.15502658872535,Soil organic carbon
Souss Massa,1,Improved,55907.590243259794,1.0665262095372379,Soil organic carbon
Tanger-Tetouan-Hoceima,-1,Degraded,1053.43276875,0.06900088432660824,Soil organic carbon
Tanger-Tetouan-Hoceima,0,Stable,1484555.2201510286,97.23982968903971,Soil organic carbon
Tanger-Tetouan-Hoceima,1,Improved,41085.93807080882,2.6911694266336816,Soil organic carbon
Beni Mellal-Khenifra,-1,Degraded,2211275.3263860904,76.5262406002402,SDG 15.3.1
Beni Mellal-Khenifra,0,Stable,650261.3857241671,22.503782619552783,SDG 15.3.1
Beni Mellal-Khenifra,1,Improved,28028.107802181366,0.969976780207017,SDG 15.3.1
Casablanca-Settat,-1,Degraded,1806783.1538661916,89.67758855861996,SDG 15.3.1
Casablanca-Settat,0,Stable,203733.98032948453,10.112100073715084,SDG 15.3.1
Casablanca-Settat,1,Improved,4237.257516299018,0.210311367664946,SDG 15.3.1
Dakhla-Oued Eddahab,-1,Degraded,2730840.0589786517,21.263414281053873,SDG 15.3.1
Dakhla-Oued Eddahab,0,Stable,10111973.735495515,78.7358769071938,SDG 15.3.1
Dakhla-Oued Eddahab,1,Improved,91.03201875,0.0007088117523242491,SDG 15.3.1
Daraa-Tafilelt,-1,Degraded,1190883.7225910025,14.682560449714158,SDG 15.3.1
Daraa-Tafilelt,0,Stable,6873943.5545368325,84.74974496067782,SDG 15.3.1
Daraa-Tafilelt,1,Improved,46044.9829907108,0.567694589608021,SDG 15.3.1
Fes-Meknes,-1,Degraded,2563379.313654458,66.69456294957763,SDG 15.3.1
Fes-Meknes,0,Stable,1220753.9317268364,31.761842467795983,SDG 15.3.1
Fes-Meknes,1,Improved,59327.451096200944,1.5435945826263848,SDG 15.3.1
Guelmim-Oued Noun,-1,Degraded,3200556.0019668327,64.1120179398271,SDG 15.3.1
Guelmim-Oued Noun,0,Stable,1790963.117570616,35.875722672152726,SDG 15.3.1
Guelmim-Oued Noun,1,Improved,612.004725,0.012259388020189861,SDG 15.3.1
Laayoune-Saguia Hamra,-1,Degraded,3658367.300246071,26.44211906504933,SDG 15.3.1
Laayoune-Saguia Hamra,0,Stable,10165213.674607597,73.47260902084989,SDG 15.3.1
Laayoune-Saguia Hamra,1,Improved,11797.692212500004,0.0852719141007923,SDG 15.3.1
Marrakech-Safi,-1,Degraded,3514957.393688939,87.13131706251059,SDG 15.3.1
Marrakech-Safi,0,Stable,475196.6707108585,11.77952024599175,SDG 15.3.1
Marrakech-Safi,1,Improved,43937.82378686273,1.0891626914976633,SDG 15.3.1
Oriental,-1,Degraded,4710784.336268426,70.63596459463714,SDG 15.3.1
Oriental,0,Stable,1951501.8709431437,29.26183990233371,SDG 15.3.1
Oriental,1,Improved,6815.522059754902,0.10219550302915496,SDG 15.3.1
Rabat-Sale-Kenitra,-1,Degraded,1166919.9601555287,69.7284873571299,SDG 15.3.1
Rabat-Sale-Kenitra,0,Stable,492103.9419157593,29.405327412253218,SDG 15.3.1
Rabat-Sale-Kenitra,1,Improved,14495.780320343141,0.8661852306168988,SDG 15.3.1
Souss Massa,-1,Degraded,3454961.362932897,65.92468955515793,SDG 15.3.1
Souss Massa,0,Stable,1776841.6259615675,33.904209128625624,SDG 15.3.1
Souss Massa,1,Improved,8967.026476176476,0.17110131621645497,SDG 15.3.1
Tanger-Tetouan-Hoceima,-1,Degraded,502263.3909718621,32.94066497583452,SDG 15.3.1
Tanger-Tetouan-Hoceima,0,Stable,982450.9565415925,64.43349922837156,SDG 15.3.1
Tanger-Tetouan-Hoceima,1,Improved,40037.47926455884,2.6258357957939236,SDG 15.3.1
Beni Mellal-Khenifra,-1,Degraded,570954.3556076707,19.758609246424733,SDG 15.3.1 baseline
Beni Mellal-Khenifra,0,Stable,2270614.396646421,78.57752931036637,SDG 15.3.1 baseline
Beni Mellal-Khenifra,1,Improved,48079.74722713233,1.66386144320889,SDG 15.3.1 baseline
Casablanca-Settat,-1,Degraded,386508.51982328336,19.179349102410704,SDG 15.3.1 baseline
Casablanca-Settat,0,Stable,1614837.612005181,80.13156946323252,SDG 15.3.1 baseline
Casablanca-Settat,1,Improved,13886.594576740212,0.6890814343567793,SDG 15.3.1 baseline
Dakhla-Oued Eddahab,-1,Degraded,2315604.9709594604,18.026857427193473,SDG 15.3.1 baseline
Dakhla-Oued Eddahab,0,Stable,10529455.411151554,81.97123164931355,SDG 15.3.1 baseline
Dakhla-Oued Eddahab,1,Improved,245.46396715686274,0.001910923492972383,SDG 15.3.1 baseline
Daraa-Tafilelt,-1,Degraded,179078.607924608,2.207883470254404,SDG 15.3.1 baseline
Daraa-Tafilelt,0,Stable,6986082.422253581,86.13231965943257,SDG 15.3.1 baseline
Daraa-Tafilelt,1,Improved,945711.2299403953,11.659796870313043,SDG 15.3.1 baseline
Fes-Meknes,-1,Degraded,758043.8026535491,19.72252257236821,SDG 15.3.1 baseline
Fes-Meknes,0,Stable,2945920.897278072,76.64595527276151,SDG 15.3.1 baseline
Fes-Meknes,1,Improved,139579.14630835791,3.6315221548702747,SDG 15.3.1 baseline
