region,class,male,female,total,pct_male,pct_female,pct_total
Laayoune-Saguia Hamra,No drought,2035.1932165790824,1803.7121650645408,3838.905381643624,99.56819585311183,99.5833040178549,99.57529386305644
Rabat-Sale-Kenitra,No drought,18056.085770781658,18190.21452764372,36246.30029842541,100.0,100.0,100.0
Beni Mellal-Khenifra,No drought,9029.927375942172,9485.39371172576,18515.32108766792,76.87170188416262,77.85389647470755,77.37176381811938
Dakhla-Oued Eddahab,No drought,56.99571565524706,37.42854332993412,94.42425898518114,97.79170729020359,97.71119817823049,97.75977866292689
Tanger-Tetouan-Hoceima,No drought,14734.47404495161,14211.277313052082,28945.751358003712,90.07436602656938,89.72255563166621,89.9012962342554
Marrakech-Safi,No drought,3278.8608983531917,3174.562914362274,6453.423812715462,15.403252487305425,15.036142593791887,15.220450500600727
Daraa-Tafilelt,No drought,4915.011830618409,5108.138985893524,10023.150816511934,68.96064590142474,68.6198609296113,68.78654839169748
Guelmim-Oued Noun,No drought,44.05812841682756,46.530138935929145,90.5882673527567,4.100659949014942,4.009354804696378,4.053248159563555
Fes-Meknes,No drought,17799.046719204376,18121.26485867871,35920.311577883185,86.90764301376436,86.75375959762431,86.82994293791894
Oriental,No drought,3857.495022323161,3918.0425810549423,7775.5376033781085,35.55818001980114,35.355591009863055,35.4558073839221
Casablanca-Settat,No drought,22246.75899943461,22263.34471620393,44510.103715638565,72.73888716517234,73.04363901762548,72.89100133569121
Souss Massa,No drought,2319.129284229775,2519.280416010035,4838.409700239812,19.187809890471783,20.09338232114585,19.64889614130793
Laayoune-Saguia Hamra,Mild,8.76351774109565,7.493542983738499,16.25706072483415,0.42873946498029036,0.41371998458179315,0.4216831200803979
Rabat-Sale-Kenitra,Mild,0.0,0.0,0.0,0.0,0.0,0.0
Beni Mellal-Khenifra,Mild,2668.4454659497364,2651.8116286065087,5320.257094556241,22.716455605074096,21.765450573626723,22.232273122492575
Dakhla-Oued Eddahab,Mild,1.2870541568274632,0.8767318358277836,2.1637859926552467,2.2082927097964076,2.2888018217695136,2.240221337073093
Tanger-Tetouan-Hoceima,Mild,1623.6472440790087,1627.8583569047253,3251.505600983734,9.925633973430612,10.277444368333796,10.09870376574461
Marrakech-Safi,Mild,15010.713835109476,14722.347014772817,29733.060849882266,70.51650630650637,69.73158667856487,70.12565640045247
Daraa-Tafilelt,Mild,2151.862686586945,2272.299306164841,4424.161992751787,30.191960034313876,30.524788540421635,30.361992808268862
Guelmim-Oued Noun,Mild,1017.2727859087552,1100.403541072495,2117.67632698125,94.6815019224835,94.81829036829235,94.75253170991195
Fes-Meknes,Mild,2657.2301863713974,2741.8144627084307,5399.044649079828,12.974493302127067,13.126165011885387,13.051076625057068
Oriental,Mild,6986.352087936712,7159.234404082357,14145.58649201906,64.3998148505597,64.60342334164312,64.50270265244953
Casablanca-Settat,Mild,8337.650339847174,8216.167279127754,16553.81761897494,27.261112834827657,26.95636098237453,27.10899866430878
Souss Massa,Mild,9763.14020526414,10012.863342798177,19776.003548062305,80.77741912299072,79.86101507305521,80.31081778518133
Laayoune-Saguia Hamra,Moderate,0.0626426920409179,0.053903041891046,0.1165457339319639,0.0030646819078830787,0.0029759975632980937,0.00302301686315389
Rabat-Sale-Kenitra,Moderate,0.0,0.0,0.0,0.0,0.0,0.0
Beni Mellal-Khenifra,Moderate,48.37811407014435,46.377166430622914,94.75528050076728,0.41184251076328543,0.38065295166573354,0.3959630593880474
Dakhla-Oued Eddahab,Moderate,0.0,0.0,0.0,0.0,0.0,0.0
Tanger-Tetouan-Hoceima,Moderate,0.0,0.0,0.0,0.0,0.0,0.0
Marrakech-Safi,Moderate,2997.234017192178,3215.971214150857,6213.205231343036,14.080241206188193,15.232270727643252,14.653893098946817
Daraa-Tafilelt,Moderate,60.39606788187635,63.67324750499397,124.06931538687031,0.8473940642613778,0.8553505299670561,0.851458800033668
Guelmim-Oued Noun,Moderate,13.08464230722656,13.605638722505638,26.690281029732205,1.217838128501554,1.1723548270112591,1.1942201305244857
Fes-Meknes,Moderate,24.13897267486535,25.08154072142115,49.220513396286506,0.11786368410858272,0.12007539049031091,0.11898043702399565
Oriental,Moderate,4.556886162477381,4.541955357673121,9.098841520150504,0.04200512963916331,0.04098564849382256,0.041489963628383926
Casablanca-Settat,Moderate,0.0,0.0,0.0,0.0,0.0,0.0
Souss Massa,Moderate,4.202585578081656,5.717591487192639,9.920177065274297,0.034770986537497314,0.04560260579893816,0.04028607351074434
Laayoune-Saguia Hamra,Severe,0.0,0.0,0.0,0.0,0.0,0.0
Rabat-Sale-Kenitra,Severe,0.0,0.0,0.0,0.0,0.0,0.0
Beni Mellal-Khenifra,Severe,0.0,0.0,0.0,0.0,0.0,0.0
Dakhla-Oued Eddahab,Severe,0.0,0.0,0.0,0.0,0.0,0.0
Tanger-Tetouan-Hoceima,Severe,0.0,0.0,0.0,0.0,0.0,0.0
Marrakech-Safi,Severe,0.0,0.0,0.0,0.0,0.0,0.0
Daraa-Tafilelt,Severe,0.0,0.0,0.0,0.0,0.0,0.0
Guelmim-Oued Noun,Severe,0.0,0.0,0.0,0.0,0.0,0.0
Fes-Meknes,Severe,0.0,0.0,0.0,0.0,0.0,0.0
Oriental,Severe,0.0,0.0,0.0,0.0,0.0,0.0
Casablanca-Settat,Severe,0.0,0.0,0.0,0.0,0.0,0.0
Souss Massa,Severe,0.0,0.0,0.0,0.0,0.0,0.0
Laayoune-Saguia Hamra,Extreme,0.0,0.0,0.0,0.0,0.0,0.0
Rabat-Sale-Kenitra,Extreme,0.0,0.0,0.0,0.0,0.0,0.0
Beni Mellal-Khenifra,Extreme,0.0,0.0,0.0,0.0,0.0,0.0
Dakhla-Oued Eddahab,Extreme,0.0,0.0,0.0,0.0,0.0,0.0
Tanger-Tetouan-Hoceima,Extreme,0.0,0.0,0.0,0.0,0.0,0.0
Marrakech-Safi,Extreme,0.0,0.0,0.0,0.0,0.0,0.0
Daraa-Tafilelt,Extreme,0.0,0.0,0.0,0.0,0.0,0.0
Guelmim-Oued Noun,Extreme,0.0,0.0,0.0,0.0,0.0,0.0
Fes-Meknes,Extreme,0.0,0.0,0.0,0.0,0.0,0.0
Oriental,Extreme,0.0,0.0,0.0,0.0,0.0,0.0
Casablanca-Settat,Extreme,0.0,0.0,0.0,0.0,0.0,0.0
Souss Massa,Extreme,0.0,0.0,0.0,0.0,0.0,0.0
